french,fang
aigle,ndüiny
allumettes,mesis
amarante,folong
ananas,mbatwa
assiette,esua
avocat,fiè
bague,akena
banane,adzuin
banane plantain,ekuan
bouteille,n'yoman
cacao,keka'a
caneton,mwan-swa
canne à sucre,nko
champignon,vyo
chapeau,aforlong
colibri,sosoo
concombre,ngwane
coq,nnom-ku
couteau,okeng
cuillère,to'o
cuisine,atum
cuisine,kisin
epervier,obam
feu,nduan
fourchette,elum
fruit,ebuma
fruits,bibuma
grenier,akang
louche,mba to'o
machette,fa'a
mangue,andwa
marmite,viok
mortier,edong
oiseaux,anon
oiseaux,anoan
pantalon,tulasi
papaye,fôfo'o
passoire,elong
perdrix,okwè
perroquet,kokôs
pie,otua
pigeon,obeng
pilon,ntum
pintade,nkang
poele,eyang mboan
poubelle,akun
poussin,mwan-ku
table,tebele
verre,elas
