id,french,fang
1,aigle,ndüiny
2,allumettes,mesis
3,amarante,folong
4,ananas,mbatwa
5,assiette,esua
6,avocat,fiè
7,bague,akena
8,banane,adzuin
9,banane plantain,ekuan
10,bouteille,n'yoman
11,cacao,keka'a
12,caneton,mwan-swa
13,canne à sucre,nko
14,champignon,vyo
15,chapeau,aforlong
16,colibri,sosoo
17,concombre,ngwane
18,coq,nnom-ku
19,couteau,okeng
20,cuillère,to'o
21,cuisine,atum
22,cuisine,kisin
23,epervier,obam
24,feu,nduan
25,fourchette,elum
26,fruit,ebuma
27,fruits,bibuma
28,grenier,akang
29,louche,mba to'o
30,machette,fa'a
31,mangue,andwa
32,marmite,viok
33,mortier,edong
34,oiseaux,anon
35,oiseaux,anoan
36,pantalon,tulasi
37,papaye,fôfo'o
38,passoire,elong
39,perdrix,okwè
40,perroquet,kokôs
41,pie,otua
42,pigeon,obeng
43,pilon,ntum
44,pintade,nkang
45,poele,eyang mboan
46,poubelle,akun
47,poussin,mwan-ku
48,table,tebele
49,verre,elas
